
--- Testing Combo: B=8, P_max=5.0W, Eps=10.0 ---
📄 当前日志正在实时写入: Experiment_Fig_Convergence/Fig_Convergence_mnist_iid_8bit_5.0w_Eps10.0.txt
>> Scheme: PROPOSED ...
   R50 : Acc=97.3% | Loss=0.085 | E=11476.1J | D=16000.0sym
   R52 : Acc=97.4% | Loss=0.082 | E=11919.0J | D=16640.0sym
   R54 : Acc=97.5% | Loss=0.080 | E=12308.1J | D=17280.0sym
   R56 : Acc=97.6% | Loss=0.077 | E=12733.5J | D=17920.0sym
   R58 : Acc=97.6% | Loss=0.075 | E=13008.7J | D=18560.0sym
   R60 : Acc=97.7% | Loss=0.072 | E=13458.0J | D=19200.0sym
   R62 : Acc=97.8% | Loss=0.070 | E=13984.0J | D=19840.0sym
   R64 : Acc=97.8% | Loss=0.069 | E=14421.1J | D=20480.0sym
   R66 : Acc=97.9% | Loss=0.067 | E=15018.4J | D=21120.0sym
   R68 : Acc=97.9% | Loss=0.065 | E=15359.9J | D=21760.0sym
   R70 : Acc=98.0% | Loss=0.064 | E=15953.0J | D=22400.0sym
   R72 : Acc=98.0% | Loss=0.063 | E=16423.9J | D=23040.0sym
   R74 : Acc=98.0% | Loss=0.063 | E=16914.4J | D=23680.0sym
   R76 : Acc=98.0% | Loss=0.062 | E=17513.5J | D=24320.0sym
   R78 : Acc=98.0% | Loss=0.060 | E=17969.4J | D=24960.0sym
   R80 : Acc=98.1% | Loss=0.059 | E=18248.1J | D=25600.0sym
   R82 : Acc=98.1% | Loss=0.058 | E=18750.5J | D=26240.0sym
   R84 : Acc=98.1% | Loss=0.057 | E=19257.2J | D=26880.0sym
   R86 : Acc=98.1% | Loss=0.056 | E=19801.2J | D=27520.0sym
   R88 : Acc=98.2% | Loss=0.055 | E=20211.4J | D=28160.0sym
   R90 : Acc=98.2% | Loss=0.055 | E=20610.6J | D=28800.0sym
   R92 : Acc=98.3% | Loss=0.054 | E=21065.1J | D=29440.0sym
   R94 : Acc=98.2% | Loss=0.054 | E=21511.2J | D=30080.0sym
   R96 : Acc=98.3% | Loss=0.053 | E=22028.9J | D=30720.0sym
   R98 : Acc=98.3% | Loss=0.052 | E=22374.1J | D=31360.0sym
   R100: Acc=98.3% | Loss=0.052 | E=22793.6J | D=32000.0sym
==> Saved Plot: Experiment_Fig_Convergence/Fig_Convergence_mnist_iid_8bit_5.0w_Eps10.0.png

